YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,PTDY,TIDE
5.0,6.0,MM,MM,MM,MM,1022.4,12.2,10.9,10.1,MM,+0.8,MM
5.0,6.0,0.5,4,3.4,271,1022.4,12.2,10.9,10.1,MM,MM,MM
5.0,6.0,MM,MM,MM,MM,1022.3,12.2,10.9,10.0,MM,MM,MM
6.0,7.0,MM,MM,MM,MM,1022.3,12.4,10.9,10.0,MM,MM,MM
7.0,8.0,0.5,4,3.2,276,1022.0,12.4,10.7,10.0,MM,MM,MM
8.0,10.0,0.5,MM,3.2,276,1022.1,12.7,10.6,9.9,MM,MM,MM
10.0,13.0,MM,MM,MM,MM,1021.7,12.8,10.6,10.0,MM,-0.0,MM
9.0,11.0,0.4,4,3.1,279,1021.8,12.6,10.6,10.1,MM,MM,MM
7.0,9.0,MM,MM,MM,MM,1021.8,12.4,10.6,10.2,MM,MM,MM
6.0,8.0,MM,MM,MM,MM,1021.7,12.0,10.6,10.1,MM,MM,MM
6.0,7.0,0.5,4,3.2,285,1021.9,11.8,10.6,10.3,MM,MM,MM
8.0,9.0,0.5,MM,3.2,285,1021.7,11.9,10.6,10.3,MM,MM,MM
8.0,10.0,MM,MM,MM,MM,1021.5,12.0,10.6,10.3,MM,+0.0,MM
7.0,8.0,0.5,4,3.2,264,1021.5,12.0,10.6,10.4,MM,MM,MM
8.0,9.0,MM,MM,MM,MM,1021.6,12.0,10.6,10.4,MM,MM,MM
9.0,10.0,MM,MM,MM,MM,1021.5,11.9,10.6,10.4,MM,MM,MM
8.0,9.0,0.6,3,3.2,262,1021.5,11.8,10.6,10.4,MM,MM,MM
8.0,9.0,MM,MM,MM,MM,1021.6,11.8,10.6,10.4,MM,MM,MM
7.0,9.0,MM,MM,MM,MM,1021.5,11.9,10.6,10.5,MM,+0.3,MM
8.0,9.0,0.6,4,3.3,297,1021.6,11.8,10.6,10.5,MM,MM,MM
